"accession","source_code","ribotype"
"ERR256913","ERR",78
"ERR256912","ERR",78
"ERR256908","ERR",78
"ERR256907","ERR",78
"ERR256906","ERR",78
"ERR256905","ERR",78
"ERR256904","ERR",78
"ERR256903","ERR",78
"ERR256902","ERR",78
"ERR256896","ERR",78
"ERR256895","ERR",78
"ERR256894","ERR",78
"ERR256911","ERR",78
"ERR256910","ERR",78
"ERR256909","ERR",78
"ERR256898","ERR",78
"ERR256897","ERR",78
"ERR256901","ERR",78
"ERR256900","ERR",78
"ERR256899","ERR",78
"ERR171297","ERR",78
"ERR171296","ERR",78
"ERR171295","ERR",78
"ERR171294","ERR",78
"ERR171293","ERR",78
"ERR171292","ERR",78
"ERR171291","ERR",78
"ERR171290","ERR",78
"ERR171289","ERR",78
"ERR171288","ERR",78
"ERR171287","ERR",78
"ERR171286","ERR",78
"ERR171381","ERR",78
"ERR171380","ERR",78
"ERR171379","ERR",78
"ERR171378","ERR",78
"ERR171377","ERR",78
"ERR171376","ERR",78
"ERR171375","ERR",78
"ERR171373","ERR",78
"ERR171372","ERR",78
"ERR171371","ERR",78
"ERR171370","ERR",78
"ERR171351","ERR",78
"ERR171350","ERR",78
"ERR171308","ERR",78
"ERR171307","ERR",78
"ERR171306","ERR",78
"ERR171305","ERR",78
"ERR171304","ERR",78
"ERR171303","ERR",78
"ERR171302","ERR",78
"ERR171299","ERR",78
"ERR171298","ERR",78
"ERR171340","ERR",78
"ERR247120","ERR",78
"ERR247132","ERR",78
"ERR247131","ERR",78
"ERR247130","ERR",78
"ERR247129","ERR",78
"ERR247128","ERR",78
"ERR247127","ERR",78
"ERR247126","ERR",78
"ERR247125","ERR",78
"ERR247124","ERR",78
"ERR247123","ERR",78
"ERR247122","ERR",78
"ERR247121","ERR",78
"ERR247136","ERR",78
"ERR247135","ERR",78
"ERR247134","ERR",78
"ERR247069","ERR",78
"ERR247068","ERR",78
"ERR247067","ERR",78
"ERR247063","ERR",78
"ERR247099","ERR",78
"ERR247058","ERR",78
"ERR247057","ERR",78
"ERR247054","ERR",78
"ERR247052","ERR",78
"ERR247051","ERR",78
"ERR247050","ERR",78
"ERR247049","ERR",78
"ERR247048","ERR",78
"ERR247047","ERR",78
"ERR247046","ERR",78
"ERR247045","ERR",78
"ERR247060","ERR",78
"ERR247059","ERR",78
"ERR247044","ERR",78
"ERR247043","ERR",78
"ERR171245","ERR",78
"ERR171243","ERR",78
"ERR171242","ERR",78
"ERR171240","ERR",78
"ERR171239","ERR",78
"ERR171238","ERR",78
"ERR171237","ERR",78
"ERR171236","ERR",78
"ERR171235","ERR",78
"ERR171234","ERR",78
"ERR171233","ERR",78
"ERR171232","ERR",78
"ERR171231","ERR",78
"ERR171230","ERR",78
"ERR171229","ERR",78
"ERR171228","ERR",78
"ERR171227","ERR",78
"ERR171226","ERR",78
"ERR171225","ERR",78
"ERR171224","ERR",78
"ERR171223","ERR",78
"ERR171221","ERR",78
"ERR171218","ERR",78
"ERR171217","ERR",78
"ERR171216","ERR",78
"ERR171215","ERR",78
"ERR171213","ERR",78
"ERR171211","ERR",78
"ERR171210","ERR",78
"ERR171209","ERR",78
"ERR171208","ERR",78
"ERR171207","ERR",78
"ERR171206","ERR",78
"ERR171198","ERR",78
"ERR171196","ERR",78
"ERR171195","ERR",78
"ERR171194","ERR",78
"ERR171191","ERR",78
"ERR171190","ERR",78
"ERR027336","ERR",78
"ERR027337","ERR",78
"ERR027340","ERR",78
"ERR027341","ERR",78
"ERR027343","ERR",78
"ERR027345","ERR",78
"ERR027346","ERR",78
"ERR027347","ERR",78
"ERR027349","ERR",78
"ERR027351","ERR",78
"ERR027354","ERR",78
"ERR027355","ERR",78
"ERR027356","ERR",78
"ERR027358","ERR",78
"ERR027359","ERR",78
"ERR027360","ERR",78
"SRR1519423","SRR",78
"SRR1158335","SRR",78
"SRR1161446","SRR",78
"SRR5365899","SRR",78
"SRR5365898","SRR",78
"SRR5365897","SRR",78
"SRR5365896","SRR",78
"SRR5365895","SRR",78
"SRR5365894","SRR",78
"SRR5365893","SRR",78
"SRR5365892","SRR",78
"SRR5365891","SRR",78
"SRR5365890","SRR",78
"SRR5410582","SRR",78
"SRR5410581","SRR",78
"SRR5410580","SRR",78
"SRR5410579","SRR",78
"SRR5410578","SRR",78
"SRR5410577","SRR",78
"SRR5410576","SRR",78
"SRR5410575","SRR",78
"SRR5410574","SRR",78
"SRR5410573","SRR",78
